FECHA,TIMESTAMP,TIPO_VIAJERO,PUNTO_TURISTICO,RESIDENCIA,VIAJEROS,PERNOCTACIONES
2013-09-01,1377986400000,Nacional,Vitoria-Gastéiz,Residentes en España,15622,29990
2013-10-01,1380578400000,Nacional,Vitoria-Gastéiz,Residentes en España,13372,23327
2013-11-01,1383260400000,Nacional,Vitoria-Gastéiz,Residentes en España,12432,21751
2013-12-01,1385852400000,Nacional,Vitoria-Gastéiz,Residentes en España,12253,21567
2014-01-01,1388530800000,Nacional,Vitoria-Gastéiz,Residentes en España,8554,16051
2014-02-01,1391209200000,Nacional,Vitoria-Gastéiz,Residentes en España,10267,16464
2014-03-01,1393628400000,Nacional,Vitoria-Gastéiz,Residentes en España,12374,19635
2014-04-01,1396303200000,Nacional,Vitoria-Gastéiz,Residentes en España,13938,23771
2014-05-01,1398895200000,Nacional,Vitoria-Gastéiz,Residentes en España,15426,26988
2014-06-01,1401573600000,Nacional,Vitoria-Gastéiz,Residentes en España,15348,26570
2014-07-01,1404165600000,Nacional,Vitoria-Gastéiz,Residentes en España,17588,31613
2014-08-01,1406844000000,Nacional,Vitoria-Gastéiz,Residentes en España,19579,42384
2014-09-01,1409522400000,Nacional,Vitoria-Gastéiz,Residentes en España,17199,33146
2014-10-01,1412114400000,Nacional,Vitoria-Gastéiz,Residentes en España,17581,30020
2014-11-01,1414796400000,Nacional,Vitoria-Gastéiz,Residentes en España,17200,28590
2014-12-01,1417388400000,Nacional,Vitoria-Gastéiz,Residentes en España,16312,28756
2015-01-01,1420066800000,Nacional,Vitoria-Gastéiz,Residentes en España,11710,20276
2015-02-01,1422745200000,Nacional,Vitoria-Gastéiz,Residentes en España,11839,20287
2015-03-01,1425164400000,Nacional,Vitoria-Gastéiz,Residentes en España,15221,27317
2015-04-01,1427839200000,Nacional,Vitoria-Gastéiz,Residentes en España,16026,25655
2015-05-01,1430431200000,Nacional,Vitoria-Gastéiz,Residentes en España,17672,31245
2015-06-01,1433109600000,Nacional,Vitoria-Gastéiz,Residentes en España,16496,27051
2015-07-01,1435701600000,Nacional,Vitoria-Gastéiz,Residentes en España,19411,34818
2015-08-01,1438380000000,Nacional,Vitoria-Gastéiz,Residentes en España,23941,48163
2015-09-01,1441058400000,Nacional,Vitoria-Gastéiz,Residentes en España,19956,34978
